activity_id,user_id,persona,activity_date,distance_km,pace_min_km,moving_time_sec
act_3_13,3,Weekend Warrior,2025-02-08 00:00:00,16.69,5.01,5014
act_3_14,3,Weekend Warrior,2025-02-09 00:00:00,21.19,4.45,5656
act_3_20,3,Weekend Warrior,2025-02-15 00:00:00,12.83,4.69,3609
act_3_21,3,Weekend Warrior,2025-02-16 00:00:00,7.24,6.03,2620
act_3_27,3,Weekend Warrior,2025-02-22 00:00:00,1.0,4.54,272
act_3_28,3,Weekend Warrior,2025-02-23 00:00:00,11.8,4.41,3125
act_3_30,3,Weekend Warrior,2025-02-25 00:00:00,2.74,4.75,782
act_3_35,3,Weekend Warrior,2025-03-02 00:00:00,14.19,5.39,4586
act_3_38,3,Weekend Warrior,2025-03-05 00:00:00,10.26,4.66,2866
act_3_42,3,Weekend Warrior,2025-03-09 00:00:00,10.75,5.36,3453
act_3_48,3,Weekend Warrior,2025-03-15 00:00:00,6.92,5.19,2154
act_3_56,3,Weekend Warrior,2025-03-23 00:00:00,1.0,4.04,242
act_3_62,3,Weekend Warrior,2025-03-29 00:00:00,12.41,4.85,3614
act_3_63,3,Weekend Warrior,2025-03-30 00:00:00,14.59,5.6,4898
act_3_70,3,Weekend Warrior,2025-04-06 00:00:00,16.95,5.6,5698
act_3_75,3,Weekend Warrior,2025-04-11 00:00:00,13.6,5.68,4632
act_3_77,3,Weekend Warrior,2025-04-13 00:00:00,16.73,5.18,5205
act_3_83,3,Weekend Warrior,2025-04-19 00:00:00,14.65,4.59,4039
act_3_84,3,Weekend Warrior,2025-04-20 00:00:00,15.74,4.98,4698
act_3_91,3,Weekend Warrior,2025-04-27 00:00:00,3.74,5.03,1128
act_3_97,3,Weekend Warrior,2025-05-03 00:00:00,14.55,4.63,4042
act_3_98,3,Weekend Warrior,2025-05-04 00:00:00,10.32,5.88,3638
act_3_103,3,Weekend Warrior,2025-05-09 00:00:00,13.42,4.5,3618
act_3_105,3,Weekend Warrior,2025-05-11 00:00:00,18.79,5.36,6041
act_3_111,3,Weekend Warrior,2025-05-17 00:00:00,19.81,4.25,5047
act_3_112,3,Weekend Warrior,2025-05-18 00:00:00,17.18,5.65,5822
act_3_114,3,Weekend Warrior,2025-05-20 00:00:00,13.88,5.31,4423
act_3_118,3,Weekend Warrior,2025-05-24 00:00:00,10.59,4.07,2584
act_3_119,3,Weekend Warrior,2025-05-25 00:00:00,8.12,5.81,2832
act_4_0,4,Event-Driven Racer,2025-01-23 00:00:00,20.4,4.22,5164
act_4_1,4,Event-Driven Racer,2025-01-24 00:00:00,13.45,4.41,3561
act_4_3,4,Event-Driven Racer,2025-01-26 00:00:00,23.2,5.0,6961
act_4_5,4,Event-Driven Racer,2025-01-28 00:00:00,1.35,4.55,367
act_4_7,4,Event-Driven Racer,2025-01-30 00:00:00,3.03,4.2,762
act_4_8,4,Event-Driven Racer,2025-01-31 00:00:00,9.4,4.63,2608
act_4_10,4,Event-Driven Racer,2025-02-02 00:00:00,22.61,5.44,7382
act_4_11,4,Event-Driven Racer,2025-02-03 00:00:00,10.23,5.85,3588
act_4_13,4,Event-Driven Racer,2025-02-05 00:00:00,8.08,3.88,1881
act_4_17,4,Event-Driven Racer,2025-02-09 00:00:00,12.05,4.26,3077
act_4_18,4,Event-Driven Racer,2025-02-10 00:00:00,5.07,4.28,1302
act_4_20,4,Event-Driven Racer,2025-02-12 00:00:00,9.75,5.0,2926
act_4_24,4,Event-Driven Racer,2025-02-16 00:00:00,16.16,4.73,4589
act_4_29,4,Event-Driven Racer,2025-02-21 00:00:00,7.91,3.83,1820
act_4_31,4,Event-Driven Racer,2025-02-23 00:00:00,15.98,4.42,4241
act_4_34,4,Event-Driven Racer,2025-02-26 00:00:00,12.2,4.85,3548
act_4_35,4,Event-Driven Racer,2025-02-27 00:00:00,1.0,4.43,265
act_4_37,4,Event-Driven Racer,2025-03-01 00:00:00,21.25,4.27,5447
act_4_38,4,Event-Driven Racer,2025-03-02 00:00:00,12.27,5.24,3859
act_4_39,4,Event-Driven Racer,2025-03-03 00:00:00,4.68,5.0,1402
act_4_40,4,Event-Driven Racer,2025-03-04 00:00:00,1.84,5.21,574
act_4_44,4,Event-Driven Racer,2025-03-08 00:00:00,20.88,4.49,5621
act_4_47,4,Event-Driven Racer,2025-03-11 00:00:00,1.0,4.08,244
act_4_49,4,Event-Driven Racer,2025-03-13 00:00:00,6.6,5.24,2074
act_4_51,4,Event-Driven Racer,2025-03-15 00:00:00,22.02,4.33,5723
act_4_52,4,Event-Driven Racer,2025-03-16 00:00:00,18.24,3.8,4163
act_4_53,4,Event-Driven Racer,2025-03-17 00:00:00,4.89,4.37,1283
act_4_55,4,Event-Driven Racer,2025-03-19 00:00:00,9.49,4.92,2801
act_4_58,4,Event-Driven Racer,2025-03-22 00:00:00,24.87,4.89,7298
act_4_62,4,Event-Driven Racer,2025-03-26 00:00:00,12.54,4.12,3099
act_4_65,4,Event-Driven Racer,2025-03-29 00:00:00,15.54,5.04,4697
act_4_66,4,Event-Driven Racer,2025-03-30 00:00:00,5.08,4.76,1451
act_4_69,4,Event-Driven Racer,2025-04-02 00:00:00,2.19,5.26,689
act_4_72,4,Event-Driven Racer,2025-04-05 00:00:00,4.26,4.35,1111
act_4_73,4,Event-Driven Racer,2025-04-06 00:00:00,6.12,4.63,1698
act_4_74,4,Event-Driven Racer,2025-04-07 00:00:00,2.18,4.24,555
act_4_75,4,Event-Driven Racer,2025-04-08 00:00:00,4.9,3.58,1053
act_4_79,4,Event-Driven Racer,2025-04-12 00:00:00,5.52,4.39,1452
act_4_81,4,Event-Driven Racer,2025-04-14 00:00:00,6.18,3.85,1427
act_4_90,4,Event-Driven Racer,2025-04-23 00:00:00,4.21,3.57,902
act_4_91,4,Event-Driven Racer,2025-04-24 00:00:00,1.15,5.42,374
act_4_98,4,Event-Driven Racer,2025-05-01 00:00:00,4.76,4.62,1318
act_4_99,4,Event-Driven Racer,2025-05-02 00:00:00,3.83,4.1,942
act_4_103,4,Event-Driven Racer,2025-05-06 00:00:00,3.18,5.27,1004
act_4_104,4,Event-Driven Racer,2025-05-07 00:00:00,7.4,4.19,1859
act_4_109,4,Event-Driven Racer,2025-05-12 00:00:00,5.61,4.69,1579
act_4_113,4,Event-Driven Racer,2025-05-16 00:00:00,8.11,4.21,2048
act_4_114,4,Event-Driven Racer,2025-05-17 00:00:00,3.46,3.88,805
act_4_115,4,Event-Driven Racer,2025-05-18 00:00:00,1.67,5.38,537
act_4_116,4,Event-Driven Racer,2025-05-19 00:00:00,2.45,4.0,587
act_5_2,5,Weekend Warrior,2025-01-12 00:00:00,6.27,4.56,1717
act_5_8,5,Weekend Warrior,2025-01-18 00:00:00,13.97,3.53,2954
act_5_15,5,Weekend Warrior,2025-01-25 00:00:00,13.4,4.85,3901
act_5_22,5,Weekend Warrior,2025-02-01 00:00:00,1.0,5.49,329
act_5_29,5,Weekend Warrior,2025-02-08 00:00:00,17.92,5.0,5371
act_5_30,5,Weekend Warrior,2025-02-09 00:00:00,17.58,6.07,6401
act_5_37,5,Weekend Warrior,2025-02-16 00:00:00,20.47,4.96,6088
act_5_42,5,Weekend Warrior,2025-02-21 00:00:00,6.55,5.54,2177
act_5_43,5,Weekend Warrior,2025-02-22 00:00:00,1.0,5.52,330
act_5_44,5,Weekend Warrior,2025-02-23 00:00:00,19.64,3.98,4692
act_5_49,5,Weekend Warrior,2025-02-28 00:00:00,16.22,5.19,5045
act_5_51,5,Weekend Warrior,2025-03-02 00:00:00,24.63,4.41,6522
act_5_53,5,Weekend Warrior,2025-03-04 00:00:00,16.03,5.31,5106
act_5_58,5,Weekend Warrior,2025-03-09 00:00:00,19.15,4.38,5037
act_5_65,5,Weekend Warrior,2025-03-16 00:00:00,10.21,5.83,3570
act_5_71,5,Weekend Warrior,2025-03-22 00:00:00,6.19,5.28,1961
act_5_72,5,Weekend Warrior,2025-03-23 00:00:00,10.15,3.99,2426
act_5_79,5,Weekend Warrior,2025-03-30 00:00:00,13.09,4.75,3733
act_5_93,5,Weekend Warrior,2025-04-13 00:00:00,21.32,4.48,5726
act_5_97,5,Weekend Warrior,2025-04-17 00:00:00,1.0,5.08,304
act_5_98,5,Weekend Warrior,2025-04-18 00:00:00,12.26,4.69,3452
act_5_100,5,Weekend Warrior,2025-04-20 00:00:00,14.16,5.09,4324
act_5_106,5,Weekend Warrior,2025-04-26 00:00:00,11.63,6.21,4334
act_5_109,5,Weekend Warrior,2025-04-29 00:00:00,1.0,5.23,313
act_5_113,5,Weekend Warrior,2025-05-03 00:00:00,10.43,4.41,2760
act_5_114,5,Weekend Warrior,2025-05-04 00:00:00,14.15,4.25,3608
act_6_0,6,Lapsed Newcomer,2025-01-08 00:00:00,1.11,5.5,366
act_6_1,6,Lapsed Newcomer,2025-01-09 00:00:00,5.98,5.82,2089
act_6_2,6,Lapsed Newcomer,2025-01-10 00:00:00,3.66,5.9,1297
act_6_3,6,Lapsed Newcomer,2025-01-11 00:00:00,3.73,6.23,1393
act_6_5,6,Lapsed Newcomer,2025-01-13 00:00:00,2.5,5.89,882
act_6_6,6,Lapsed Newcomer,2025-01-14 00:00:00,1.99,6.4,764
act_6_7,6,Lapsed Newcomer,2025-01-15 00:00:00,1.0,5.71,342
act_6_8,6,Lapsed Newcomer,2025-01-16 00:00:00,5.62,5.92,1995
act_6_10,6,Lapsed Newcomer,2025-01-18 00:00:00,1.0,6.1,365
act_6_11,6,Lapsed Newcomer,2025-01-19 00:00:00,2.84,6.35,1082
act_6_13,6,Lapsed Newcomer,2025-01-21 00:00:00,2.01,5.38,648
act_6_14,6,Lapsed Newcomer,2025-01-22 00:00:00,8.13,5.53,2694
act_6_15,6,Lapsed Newcomer,2025-01-23 00:00:00,6.83,6.01,2465
act_6_16,6,Lapsed Newcomer,2025-01-24 00:00:00,6.74,6.02,2434
act_6_17,6,Lapsed Newcomer,2025-01-25 00:00:00,1.92,6.96,803
act_6_19,6,Lapsed Newcomer,2025-01-27 00:00:00,8.48,5.49,2793
act_6_24,6,Lapsed Newcomer,2025-02-01 00:00:00,3.72,6.06,1350
act_6_25,6,Lapsed Newcomer,2025-02-02 00:00:00,4.34,5.67,1476
act_7_2,7,Event-Driven Racer,2025-01-24 00:00:00,8.75,4.73,2484
act_7_3,7,Event-Driven Racer,2025-01-25 00:00:00,4.85,5.08,1478
act_7_4,7,Event-Driven Racer,2025-01-26 00:00:00,11.99,4.33,3117
act_7_6,7,Event-Driven Racer,2025-01-28 00:00:00,18.85,3.66,4139
act_7_7,7,Event-Driven Racer,2025-01-29 00:00:00,10.58,4.14,2628
act_7_8,7,Event-Driven Racer,2025-01-30 00:00:00,9.5,3.32,1893
act_7_10,7,Event-Driven Racer,2025-02-01 00:00:00,5.58,4.66,1560
act_7_11,7,Event-Driven Racer,2025-02-02 00:00:00,5.15,3.57,1101
act_7_13,7,Event-Driven Racer,2025-02-04 00:00:00,10.04,4.87,2934
act_7_14,7,Event-Driven Racer,2025-02-05 00:00:00,1.86,4.28,478
act_7_15,7,Event-Driven Racer,2025-02-06 00:00:00,5.84,3.85,1349
act_7_16,7,Event-Driven Racer,2025-02-07 00:00:00,4.68,5.75,1616
act_7_17,7,Event-Driven Racer,2025-02-08 00:00:00,24.76,4.26,6331
act_7_23,7,Event-Driven Racer,2025-02-14 00:00:00,3.93,4.68,1105
act_7_27,7,Event-Driven Racer,2025-02-18 00:00:00,12.97,4.57,3555
act_7_33,7,Event-Driven Racer,2025-02-24 00:00:00,5.74,4.44,1527
act_7_35,7,Event-Driven Racer,2025-02-26 00:00:00,1.0,4.58,274
act_7_36,7,Event-Driven Racer,2025-02-27 00:00:00,4.04,4.97,1205
act_7_37,7,Event-Driven Racer,2025-02-28 00:00:00,11.41,4.05,2769
act_7_39,7,Event-Driven Racer,2025-03-02 00:00:00,17.56,4.7,4947
act_7_40,7,Event-Driven Racer,2025-03-03 00:00:00,3.0,4.99,898
act_7_44,7,Event-Driven Racer,2025-03-07 00:00:00,11.25,4.94,3333
act_7_45,7,Event-Driven Racer,2025-03-08 00:00:00,18.35,4.51,4962
act_7_46,7,Event-Driven Racer,2025-03-09 00:00:00,20.5,5.04,6200
act_7_50,7,Event-Driven Racer,2025-03-13 00:00:00,11.1,3.97,2641
act_7_55,7,Event-Driven Racer,2025-03-18 00:00:00,11.82,5.63,3990
act_7_58,7,Event-Driven Racer,2025-03-21 00:00:00,1.0,4.48,268
act_7_59,7,Event-Driven Racer,2025-03-22 00:00:00,14.05,5.57,4697
act_7_61,7,Event-Driven Racer,2025-03-24 00:00:00,2.62,5.8,910
act_7_62,7,Event-Driven Racer,2025-03-25 00:00:00,12.69,4.95,3770
act_7_64,7,Event-Driven Racer,2025-03-27 00:00:00,2.1,4.85,611
act_7_67,7,Event-Driven Racer,2025-03-30 00:00:00,24.49,5.6,8223
act_7_70,7,Event-Driven Racer,2025-04-02 00:00:00,2.74,5.15,846
act_7_71,7,Event-Driven Racer,2025-04-03 00:00:00,7.9,4.98,2362
act_7_73,7,Event-Driven Racer,2025-04-05 00:00:00,24.68,4.82,7134
act_7_74,7,Event-Driven Racer,2025-04-06 00:00:00,30.23,4.8,8714
act_7_75,7,Event-Driven Racer,2025-04-07 00:00:00,15.14,5.65,5129
act_7_76,7,Event-Driven Racer,2025-04-08 00:00:00,8.71,4.84,2528
act_7_77,7,Event-Driven Racer,2025-04-09 00:00:00,1.9,5.54,631
act_7_78,7,Event-Driven Racer,2025-04-10 00:00:00,13.19,4.73,3746
act_7_82,7,Event-Driven Racer,2025-04-14 00:00:00,22.66,3.83,5205
act_7_87,7,Event-Driven Racer,2025-04-19 00:00:00,2.5,3.95,591
act_7_90,7,Event-Driven Racer,2025-04-22 00:00:00,7.85,4.79,2256
act_7_92,7,Event-Driven Racer,2025-04-24 00:00:00,3.82,4.62,1059
act_7_93,7,Event-Driven Racer,2025-04-25 00:00:00,8.64,4.68,2425
act_7_95,7,Event-Driven Racer,2025-04-27 00:00:00,3.41,4.47,914
act_7_99,7,Event-Driven Racer,2025-05-01 00:00:00,2.65,3.92,624
act_7_109,7,Event-Driven Racer,2025-05-11 00:00:00,1.0,5.17,310
act_7_111,7,Event-Driven Racer,2025-05-13 00:00:00,7.23,4.71,2043
act_7_112,7,Event-Driven Racer,2025-05-14 00:00:00,4.62,4.25,1178
act_7_116,7,Event-Driven Racer,2025-05-18 00:00:00,5.94,3.71,1320
act_7_119,7,Event-Driven Racer,2025-05-21 00:00:00,7.17,3.59,1544
act_8_2,8,Lapsed Newcomer,2025-01-15 00:00:00,4.2,6.35,1599
act_8_6,8,Lapsed Newcomer,2025-01-19 00:00:00,6.95,6.11,2550
act_8_7,8,Lapsed Newcomer,2025-01-20 00:00:00,8.15,6.14,3002
act_8_9,8,Lapsed Newcomer,2025-01-22 00:00:00,1.24,6.54,487
act_8_10,8,Lapsed Newcomer,2025-01-23 00:00:00,1.76,5.75,607
act_8_11,8,Lapsed Newcomer,2025-01-24 00:00:00,3.06,5.86,1074
act_8_12,8,Lapsed Newcomer,2025-01-25 00:00:00,8.09,6.05,2934
act_8_13,8,Lapsed Newcomer,2025-01-26 00:00:00,4.59,6.42,1768
act_8_15,8,Lapsed Newcomer,2025-01-28 00:00:00,7.07,5.98,2537
act_8_16,8,Lapsed Newcomer,2025-01-29 00:00:00,1.19,5.65,403
act_8_17,8,Lapsed Newcomer,2025-01-30 00:00:00,7.91,6.72,3189
act_8_18,8,Lapsed Newcomer,2025-01-31 00:00:00,7.09,6.87,2923
act_8_22,8,Lapsed Newcomer,2025-02-04 00:00:00,6.72,6.36,2564
act_8_23,8,Lapsed Newcomer,2025-02-05 00:00:00,2.75,5.93,978
act_8_24,8,Lapsed Newcomer,2025-02-06 00:00:00,6.81,6.12,2498
act_8_25,8,Lapsed Newcomer,2025-02-07 00:00:00,5.74,5.98,2061
act_8_27,8,Lapsed Newcomer,2025-02-09 00:00:00,3.49,6.43,1346
act_9_0,9,Event-Driven Racer,2025-01-25 00:00:00,20.21,4.09,4957
act_9_2,9,Event-Driven Racer,2025-01-27 00:00:00,10.07,4.05,2448
act_9_3,9,Event-Driven Racer,2025-01-28 00:00:00,13.23,5.26,4175
act_9_4,9,Event-Driven Racer,2025-01-29 00:00:00,18.38,4.62,5098
act_9_5,9,Event-Driven Racer,2025-01-30 00:00:00,18.38,3.32,3663
act_9_7,9,Event-Driven Racer,2025-02-01 00:00:00,6.36,4.5,1719
act_9_8,9,Event-Driven Racer,2025-02-02 00:00:00,1.0,4.93,296
act_9_13,9,Event-Driven Racer,2025-02-07 00:00:00,5.31,4.06,1292
act_9_14,9,Event-Driven Racer,2025-02-08 00:00:00,13.1,5.11,4017
act_9_18,9,Event-Driven Racer,2025-02-12 00:00:00,15.44,4.89,4530
act_9_19,9,Event-Driven Racer,2025-02-13 00:00:00,22.21,3.54,4715
act_9_21,9,Event-Driven Racer,2025-02-15 00:00:00,10.28,3.85,2372
act_9_22,9,Event-Driven Racer,2025-02-16 00:00:00,17.68,4.04,4289
act_9_26,9,Event-Driven Racer,2025-02-20 00:00:00,8.21,4.54,2235
act_9_28,9,Event-Driven Racer,2025-02-22 00:00:00,12.34,4.38,3242
act_9_29,9,Event-Driven Racer,2025-02-23 00:00:00,18.59,4.46,4976
act_9_31,9,Event-Driven Racer,2025-02-25 00:00:00,3.7,4.8,1067
act_9_34,9,Event-Driven Racer,2025-02-28 00:00:00,1.78,4.16,445
act_9_35,9,Event-Driven Racer,2025-03-01 00:00:00,24.45,3.92,5757
act_9_36,9,Event-Driven Racer,2025-03-02 00:00:00,20.32,4.93,6014
act_9_38,9,Event-Driven Racer,2025-03-04 00:00:00,1.0,3.53,212
act_9_43,9,Event-Driven Racer,2025-03-09 00:00:00,12.09,4.7,3407
act_9_44,9,Event-Driven Racer,2025-03-10 00:00:00,14.44,4.48,3882
act_9_45,9,Event-Driven Racer,2025-03-11 00:00:00,15.39,4.81,4439
act_9_46,9,Event-Driven Racer,2025-03-12 00:00:00,7.88,4.01,1894
act_9_48,9,Event-Driven Racer,2025-03-14 00:00:00,12.98,4.61,3589
act_9_49,9,Event-Driven Racer,2025-03-15 00:00:00,15.02,5.97,5381
act_9_50,9,Event-Driven Racer,2025-03-16 00:00:00,16.21,4.3,4181
act_9_53,9,Event-Driven Racer,2025-03-19 00:00:00,18.9,4.18,4746
act_9_56,9,Event-Driven Racer,2025-03-22 00:00:00,20.06,4.56,5490
act_9_57,9,Event-Driven Racer,2025-03-23 00:00:00,20.96,4.99,6278
act_9_62,9,Event-Driven Racer,2025-03-28 00:00:00,3.71,3.8,845
act_9_63,9,Event-Driven Racer,2025-03-29 00:00:00,25.35,4.84,7361
act_9_64,9,Event-Driven Racer,2025-03-30 00:00:00,16.02,4.65,4469
act_9_65,9,Event-Driven Racer,2025-03-31 00:00:00,10.8,4.39,2845
act_9_67,9,Event-Driven Racer,2025-04-02 00:00:00,9.67,4.19,2427
act_9_68,9,Event-Driven Racer,2025-04-03 00:00:00,11.59,4.68,3251
act_9_69,9,Event-Driven Racer,2025-04-04 00:00:00,9.09,4.56,2484
act_9_70,9,Event-Driven Racer,2025-04-05 00:00:00,21.3,4.53,5793
act_9_71,9,Event-Driven Racer,2025-04-06 00:00:00,11.71,4.82,3385
act_9_72,9,Event-Driven Racer,2025-04-07 00:00:00,7.12,4.69,2003
act_9_77,9,Event-Driven Racer,2025-04-12 00:00:00,12.35,3.61,2671
act_9_78,9,Event-Driven Racer,2025-04-13 00:00:00,11.94,4.42,3166
act_9_84,9,Event-Driven Racer,2025-04-19 00:00:00,18.04,3.5,3788
act_9_89,9,Event-Driven Racer,2025-04-24 00:00:00,16.26,4.45,4341
act_9_90,9,Event-Driven Racer,2025-04-25 00:00:00,8.16,4.26,2082
act_9_91,9,Event-Driven Racer,2025-04-26 00:00:00,39.27,4.09,9643
act_9_92,9,Event-Driven Racer,2025-04-27 00:00:00,19.38,5.2,6047
act_9_95,9,Event-Driven Racer,2025-04-30 00:00:00,10.34,4.6,2850
act_9_98,9,Event-Driven Racer,2025-05-03 00:00:00,4.56,3.84,1051
act_9_101,9,Event-Driven Racer,2025-05-06 00:00:00,3.43,3.48,715
act_9_102,9,Event-Driven Racer,2025-05-07 00:00:00,5.17,4.87,1510
act_9_103,9,Event-Driven Racer,2025-05-08 00:00:00,1.92,4.74,546
act_9_104,9,Event-Driven Racer,2025-05-09 00:00:00,5.58,3.99,1334
act_9_105,9,Event-Driven Racer,2025-05-10 00:00:00,6.29,4.91,1855
act_9_106,9,Event-Driven Racer,2025-05-11 00:00:00,2.32,4.64,646
act_9_117,9,Event-Driven Racer,2025-05-22 00:00:00,1.0,4.44,266
act_9_118,9,Event-Driven Racer,2025-05-23 00:00:00,5.1,5.42,1660
act_9_119,9,Event-Driven Racer,2025-05-24 00:00:00,1.11,4.25,281
act_10_1,10,Weekend Warrior,2025-01-09 00:00:00,15.28,5.79,5310
act_10_9,10,Weekend Warrior,2025-01-17 00:00:00,30.39,5.71,10410
act_10_11,10,Weekend Warrior,2025-01-19 00:00:00,20.77,4.46,5559
act_10_17,10,Weekend Warrior,2025-01-25 00:00:00,12.2,5.27,3859
act_10_18,10,Weekend Warrior,2025-01-26 00:00:00,13.58,5.34,4349
act_10_24,10,Weekend Warrior,2025-02-01 00:00:00,12.79,5.22,4005
act_10_25,10,Weekend Warrior,2025-02-02 00:00:00,6.62,6.52,2588
act_10_26,10,Weekend Warrior,2025-02-03 00:00:00,14.01,4.24,3564
